date,population,population_2d,population_3d,precip,humidity,temp,lw_avg_temp,lw_avg_humidity,lw_precip
2011_11,687.0,487.0,841.0,0.0,87.57142857142857,26.142857142857142,26.142857142857142,87.19047619047619,0.0
2011_12,643.5,1099.5,1177.6666666666667,0.0,85.0,25.428571428571427,25.857142857142858,88.09523809523809,0.0
2011_13,800.75,1441.5,1333.3333333333333,0.0,82.57142857142857,26.857142857142858,26.142857142857142,85.04761904761904,0.0
2011_14,964.25,1225.5,1256.0,0.0,85.71428571428571,24.714285714285715,25.666666666666668,84.42857142857143,0.0
2011_15,1162.5,1217.0,1134.3333333333333,0.0,82.71428571428571,26.428571428571427,26.0,83.66666666666667,0.0
2011_16,1329.25,1143.0,981.6666666666666,0.0,85.57142857142857,25.285714285714285,25.47619047619047,84.66666666666666,0.0
2011_17,1184.25,814.0,847.6666666666666,0.0,87.28571428571429,24.428571428571427,25.38095238095238,85.19047619047619,0.0
2011_18,1015.5,787.0,805.6666666666666,0.0,80.42857142857143,24.857142857142858,24.857142857142858,84.42857142857143,0.0
2011_19,965.0,879.0,738.0,0.0,77.14285714285714,23.285714285714285,24.19047619047619,81.61904761904762,0.0
2011_20,846.5,649.5,570.6666666666666,0.0,78.0,21.714285714285715,23.28571428571429,78.52380952380952,0.0
2011_21,718.25,434.5,432.0,0.0,77.85714285714286,22.0,22.33333333333333,77.66666666666666,0.0
2011_22,656.75,420.0,439.0,0.0,76.71428571428571,22.428571428571427,22.047619047619047,77.52380952380952,0.0
2011_23,534.75,452.0,424.6666666666667,0.0,74.0,21.857142857142858,22.09523809523809,76.19047619047619,0.0
2011_24,443.25,423.5,394.0,0.0,81.14285714285714,21.0,21.76190476190476,77.28571428571428,0.0
2011_25,421.75,352.5,367.0,0.0,83.28571428571429,22.142857142857142,21.666666666666668,79.47619047619047,0.0
2011_26,402.25,365.5,364.0,0.0,79.42857142857143,22.285714285714285,21.80952380952381,81.28571428571428,0.0
2011_27,394.5,378.5,384.6666666666667,0.0,78.71428571428571,20.285714285714285,21.57142857142857,80.47619047619047,0.0
2011_28,365.5,379.0,355.0,0.0,78.28571428571429,22.0,21.52380952380952,78.8095238095238,0.0
2011_29,372.25,352.0,380.3333333333333,0.0,77.28571428571429,22.571428571428573,21.61904761904762,78.09523809523809,0.0
2011_30,365.25,372.0,390.3333333333333,0.0,77.85714285714286,22.0,22.190476190476197,77.80952380952381,0.0
2011_31,375.5,432.0,436.6666666666667,0.0,77.0,23.285714285714285,22.61904761904762,77.38095238095238,0.0
2011_32,392.0,436.5,439.6666666666667,0.0,76.42857142857143,23.142857142857142,22.80952380952381,77.09523809523809,0.0
2011_33,404.25,446.0,403.3333333333333,0.0,73.14285714285714,23.142857142857142,23.19047619047619,75.52380952380952,0.0
2011_34,439.0,382.0,369.3333333333333,0.0,81.85714285714286,22.428571428571427,22.9047619047619,77.14285714285715,0.0
2011_35,409.25,331.0,354.3333333333333,0.0,65.71428571428571,22.571428571428573,22.71428571428571,73.57142857142857,0.0
2011_36,388.5,372.5,348.0,0.0,68.0,23.428571428571427,22.80952380952381,71.85714285714285,0.0
2011_37,377.25,350.0,320.3333333333333,0.0,73.71428571428571,22.571428571428573,22.857142857142858,69.14285714285712,0.0
2011_38,340.5,280.0,293.0,0.0,72.0,22.142857142857142,22.71428571428571,71.23809523809523,0.0
2011_39,326.25,290.0,273.3333333333333,0.0,72.71428571428571,23.285714285714285,22.666666666666668,72.8095238095238,0.0
2011_40,320.0,279.5,271.3333333333333,0.0,85.71428571428571,22.714285714285715,22.71428571428571,76.8095238095238,0.0
2011_41,279.75,247.5,278.3333333333333,0.0,83.42857142857143,25.285714285714285,23.761904761904763,80.6190476190476,0.0
2011_42,268.75,297.5,404.6666666666667,0.0,83.42857142857143,21.0,23.0,84.19047619047619,0.0
2011_43,288.5,479.5,556.3333333333334,0.0,80.42857142857143,25.142857142857142,23.80952380952381,82.42857142857143,0.0
2011_44,363.5,664.5,723.6666666666666,0.0,72.28571428571429,20.857142857142858,22.33333333333333,78.71428571428571,0.0
2011_45,481.0,776.0,644.0,0.0,74.57142857142857,25.142857142857142,23.71428571428571,75.76190476190476,0.0
2011_46,627.75,611.0,488.0,0.0,81.85714285714286,23.571428571428573,23.19047619047619,76.23809523809523,0.0
2011_47,637.75,311.0,293.0,0.0,85.42857142857143,24.571428571428573,24.428571428571427,80.6190476190476,0.0
2011_48,543.5,249.5,320.3333333333333,0.0,88.14285714285714,23.571428571428573,23.90476190476191,85.14285714285715,0.0
2011_49,430.25,359.5,561.6666666666666,0.0,85.28571428571429,25.142857142857142,24.42857142857143,86.28571428571428,0.0
